NAME_CANDIDATE,CON_LOC,CON_LOCAL,CON_LITERAL,CON_INVOCATION,CON_IF,CON_CONDITIONAL,CON_SWITCH,CON_VAR_ACCESS,CON_TYPE_ACCESS,CON_FIELD_ACCESS,CON_ASSERT,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_PACKAGE,LOC_CANDIDATE,NUM_LOCAL,NUM_LITERAL,NUM_INVOCATION,NUM_IF,NUM_CONDITIONAL,NUM_SWITCH,NUM_VAR_ACCESS,NUM_TYPE_ACCESS,NUM_FIELD_ACCESS,NUM_ASSIGN,NUM_TYPED_ELE,NUM_PACKAGE,LOC_RATIO,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,TYPED_ELEMENTS_COUPLING,TYPED_ELEMENTS_COHESION,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
openMain,10,3,0,15,0,0,0,20,10,2,0,0,51,91,7,1,1,3,1,0,0,4,4,3,0,18,22,0.411764705882353,1,0,0.25,0,1,0,0.25,0,1,0.25,1,0.6,0.25,0.5,1,0.25,1,1,0.5,0.25
sortFiles,6,1,0,9,1,0,0,12,3,1,0,1,29,72,8,2,1,3,1,0,0,8,1,1,0,20,71,0.571428571428571,1,0.166666666666667,0.4,0.2,1,0,0.2,0,1,0.2,1,0,0.2,0,1,0.4,1,0,1,0
onCreate,3,0,1,4,0,0,0,4,1,0,0,0,12,29,4,0,1,3,0,0,0,3,0,0,0,17,29,0.571428571428571,0.5,0,1,0,0,0,0,0,1,0.333333333333333,0,0,0,0,1,0.333333333333333,0.7,0.5,1,1
getAllOrgs,3,2,0,6,0,0,0,5,4,2,0,0,17,34,11,4,1,10,0,2,0,14,3,2,2,49,61,0.785714285714286,1,1,0.2,0.2,1,0.5,0.2,0.2,1,0.2,1,0.5,0.2,0.2,1,0.2,1,0.714285714285714,0.2,0.6
showLoading,3,0,1,5,0,0,0,5,5,1,0,0,17,31,4,0,0,3,0,0,0,6,6,3,0,19,24,0.571428571428571,1,1,1,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,1,0,1,1,1,0,1,0
showLoading,41,7,1,23,5,0,0,50,23,20,0,5,143,188,4,0,0,3,0,0,0,6,6,3,0,19,24,0.088888888888889,1,1,1,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,1,0,1,1,1,0,1,0
addDiffStats,10,0,0,8,1,0,0,12,8,5,0,3,35,108,4,1,1,6,0,0,0,5,4,1,0,18,31,0.285714285714286,1,1,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0.666666666666667,1,0.204545454545455,0.333333333333333,1
addCommitParents,3,0,0,6,0,0,0,4,6,2,0,0,18,31,15,5,1,13,1,0,0,17,6,2,0,49,80,0.833333333333333,1,0.5,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0.666666666666667,1,1,0.333333333333333,1
addCommitDetails,3,0,0,6,0,0,0,4,6,2,0,0,18,31,33,6,1,27,4,0,0,37,28,15,0,128,191,0.916666666666667,1,1,0.333333333333333,0.166666666666667,1,1,0.333333333333333,0.166666666666667,1,0.166666666666667,1,0.842105263157895,0.666666666666667,0.666666666666667,1,0.666666666666667,1,1,0.333333333333333,0.666666666666667
updateItems,10,0,0,8,1,0,0,12,8,5,0,3,35,108,7,3,0,4,0,0,0,8,1,1,0,17,44,0.411764705882353,1,0.333333333333333,0.75,0.25,0.333333333333333,0,0.25,0,1,0.25,0.125,0,0.25,0,1,0.75,0.358490566037736,0,1,0
updateHeader,10,0,0,8,1,0,0,12,8,5,0,3,35,108,5,0,1,6,0,0,0,4,6,2,0,22,31,0.333333333333333,1,0,0.25,0,1,0,0.25,0,1,0.25,1,0,0.5,0,1,0.5,1,0,0.5,0
onPageSelected,15,1,0,19,0,0,0,22,27,17,0,5,79,108,4,1,0,6,0,0,0,5,3,1,0,18,17,0.210526315789474,1,0.5,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0.666666666666667,1,0.642857142857143,0.333333333333333,0.666666666666667
updateFiles,4,0,0,8,0,0,0,8,7,4,0,0,24,67,21,7,1,16,2,0,0,21,9,5,0,65,119,0.84,1,1,0.111111111111111,0.333333333333333,1,0,0.333333333333333,0,1,0.111111111111111,1,0.5,0.111111111111111,0.333333333333333,1,0.111111111111111,1,0,0.444444444444444,0
isOwner,10,3,0,9,1,0,0,21,14,13,0,4,58,92,10,2,1,5,2,0,0,6,3,2,0,27,26,0.5,1,1,0.2,0.2,1,0,0.2,0,1,0.2,1,0.285714285714286,0.2,0.4,1,0.4,1,0.615384615384615,0.2,0.4
updateHeader,4,0,0,8,0,0,0,8,7,4,0,0,24,67,29,5,1,21,3,0,0,27,20,10,0,94,127,0.878787878787879,1,1,0.25,0.25,1,0,0.125,0,1,0.125,1,1,0.25,0.25,1,0.25,1,0.678571428571429,0.25,0.5
