NUM_CONDITIONAL,NUM_SWITCH,NUM_TYPE_ACCESS,NUM_INVOCATION,NUM_IF,NUM_ASSIGN,NUM_TYPED_ELEMENTS,NUM_VAR_ACCESS,NUM_FIELD_ACCESS,NUM_LOCAL,NUM_PACKAGE,NUM_LOC,LOC_RATIO,CON_LOC,CON_ASSERT,CON_CONDITIONAL,CON_SWITCH,CON_TYPE_ACCESS,CON_INVOCATION,CON_IF,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_VAR_ACCESS,CON_FIELD_ACCESS,CON_LOCAL,CON_PACKAGE,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPED_ELEMENTS_COUPLING,TYPED_ELEMENTS_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
0,0,1,1,0,0,4,1,1,0,5,2,0.117647058823529,15,0,0,0,12,16,1,0,62,23,4,4,104,1,0,0.25,0,1,0,0.25,0,1,0.25,1,0.25,0.2,0,0.5,0,0.666666666666667,0.130434782608696,0.25,0.5
0,0,1,4,1,0,17,6,0,2,39,6,0.428571428571429,8,0,0,0,2,4,1,0,24,11,2,1,81,1,0.5,0,0.2,0,0,0,0,1,0,1,0,0.5,0,0,0,0.428571428571429,0,0.2,0
0,0,0,1,0,0,3,1,0,0,7,2,0.285714285714286,5,0,0,0,0,5,0,0,23,5,0,0,43,0.166666666666667,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.166666666666667,0,1,0
2,0,0,4,0,2,22,6,0,0,24,3,0.214285714285714,11,0,0,0,6,11,0,0,40,13,4,5,64,0.8,0.5,0.2,0.2,0,0,0,0,1,0.2,1,0.2,0,0,0,0,0.545454545454545,0,0.2,0
0,0,4,2,0,0,13,4,2,0,16,3,0.428571428571429,4,0,0,0,6,5,0,0,19,7,2,0,36,1,0,0.333333333333333,0,1,0,0.333333333333333,0,1,0.333333333333333,1,0.333333333333333,0.666666666666667,0,1,0,1,0.666666666666667,0.666666666666667,1
0,0,1,2,0,0,13,6,2,0,17,3,0.066666666666667,42,0,0,0,27,23,5,5,144,50,21,7,192,1,0.666666666666667,0,0,1,0.333333333333333,0,0,1,0,1,0,0.047619047619048,0,1,0,0.545454545454545,0,0,0
0,0,4,6,0,0,18,6,1,0,50,4,0.285714285714286,10,0,0,0,7,5,1,3,31,10,5,1,76,1,0,0.666666666666667,0,0.333333333333333,0,0.333333333333333,0,1,0.333333333333333,1,0.666666666666667,1,0,0.333333333333333,0,1,0,0.333333333333333,0
0,0,3,7,0,0,19,6,1,1,23,5,0.277777777777778,13,0,0,0,8,9,1,0,42,14,3,4,79,1,0.666666666666667,0.333333333333333,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0.333333333333333,1,0,0.333333333333333,0,1,0.4,0.333333333333333,0.333333333333333
0,0,2,1,0,0,7,2,2,0,12,2,0.055555555555556,34,0,0,0,31,31,4,0,122,38,15,6,200,1,0,0.166666666666667,0,1,0,0.166666666666667,0,1,0.166666666666667,1,0.166666666666667,0.105263157894737,0,0.666666666666667,0,0.181818181818182,0.144927536231884,0.5,1
0,0,2,4,0,0,11,2,1,1,22,3,0.176470588235294,14,0,0,0,6,7,1,3,38,16,5,2,103,0.333333333333333,0,0,0,0.333333333333333,0,0.25,0,1,0,1,0,0.25,0,0.25,0,1,0.285714285714286,0,0
