NUM_CONDITIONAL,NUM_SWITCH,NUM_TYPE_ACCESS,NUM_INVOCATION,NUM_IF,NUM_ASSIGN,NUM_TYPED_ELEMENTS,NUM_VAR_ACCESS,NUM_FIELD_ACCESS,NUM_LOCAL,NUM_PACKAGE,NUM_LOC,LOC_RATIO,CON_LOC,CON_ASSERT,CON_CONDITIONAL,CON_SWITCH,CON_TYPE_ACCESS,CON_INVOCATION,CON_IF,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_VAR_ACCESS,CON_FIELD_ACCESS,CON_LOCAL,CON_PACKAGE,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPED_ELEMENTS_COUPLING,TYPED_ELEMENTS_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
0,0,2,1,0,0,30,4,2,1,37,3,0.142857142857143,18,0,0,0,26,11,0,0,276,43,25,7,345,1,0,0,0,1,0,0,0,1,0,1,0,0.105263157894737,0,1,0,0.110204081632653,0,1,0
0,0,1,2,0,0,7,3,0,0,16,3,0.142857142857143,18,0,0,0,27,10,0,0,299,44,27,8,366,1,0.166666666666667,0,0.5,0,0,0,0,1,0,1,0,0.052631578947369,0,0.5,0,0.070422535211268,0,1,0
0,0,2,2,0,0,39,6,2,1,51,4,0.190476190476191,17,0,0,0,26,10,0,0,267,41,25,7,331,1,0.166666666666667,0.5,0.5,0.5,0,0,0,1,0.5,1,0.5,0.105263157894737,0,0.5,0,0.146938775510204,0.098591549295775,1,1
0,0,17,9,0,0,247,33,17,7,303,17,0.80952380952381,4,0,0,0,11,3,0,0,67,14,10,1,79,1,0.75,0,0.5,1,0.666666666666667,0,0,1,0,1,0.5,1,0.789473684210526,0,0.5,1,0.869387755102041,0,1
0,0,6,4,0,0,105,14,6,3,131,8,0.380952380952381,13,0,0,0,22,8,0,0,203,33,21,5,251,1,0.333333333333333,0,0.5,1,0,0,0,1,0,1,0,0.31578947368421,0,0.5,0,0.391836734693877,0.267605633802817,1,1
0,0,13,6,0,0,193,25,13,6,232,13,0.619047619047619,8,0,0,0,15,6,0,0,118,22,14,2,150,1,0,0,0,1,0,0,0,1,0,1,0.5,1,0.578947368421053,0,0.5,1,0.685714285714286,0,1
0,0,16,8,0,0,238,31,16,7,289,16,0.761904761904762,5,0,0,0,12,4,0,0,75,16,11,1,93,1,0.666666666666667,0,0.5,1,0.333333333333333,0,0,1,0,1,0,1,0.736842105263158,0,0.5,1,0.844897959183673,0,1
0,0,5,8,3,0,45,15,1,3,83,15,0.681818181818182,7,0,0,0,2,1,1,0,11,2,1,2,20,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1
0,0,2,2,0,1,7,2,0,0,11,2,0.035714285714286,54,0,0,0,26,46,7,2,174,54,7,12,248,0.333333333333333,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0.133333333333333,0,0
0,0,1,2,0,0,7,3,0,1,13,3,0.111111111111111,24,0,1,0,4,14,4,1,65,22,0,9,79,1,0.5,0.083333333333333,0.083333333333333,0,0,0,0,1,0.083333333333333,1,0.083333333333333,1,0,0.083333333333333,0,1,0,0.083333333333333,0
