NUM_CONDITIONAL,NUM_SWITCH,NUM_TYPE_ACCESS,NUM_INVOCATION,NUM_IF,NUM_ASSIGN,NUM_TYPED_ELEMENTS,NUM_VAR_ACCESS,NUM_FIELD_ACCESS,NUM_LOCAL,NUM_PACKAGE,LOC_CANDIDATE,LOC_RATIO,CON_CONDITIONAL,CON_SWITCH,CON_TYPE_ACCESS,CON_INVOCATION,CON_IF,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_VAR_ACCESS,CON_FIELD_ACCESS,CON_LOCAL,CON_PACKAGE,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
0,0,4,3,1,0,18,4,3,1,22,7,0.411764705882353,0,0,10,15,0,0,51,20,2,3,91,1,0,0.25,0,1,0,0.25,0,1,0.25,1,0.6,0.25,0.5,1,1,0.5,0.25
0,0,1,3,1,0,20,8,1,2,71,8,0.571428571428571,0,0,3,9,1,1,29,12,1,1,72,1,0.166666666666667,0.4,0.2,1,0,0.2,0,1,0.2,1,0,0.2,0,1,0,1,0
0,0,0,3,0,0,17,3,0,0,29,4,0.571428571428571,0,0,1,4,0,0,12,4,0,0,29,0.5,0,1,0,0,0,0,0,1,0.333333333333333,0,0,0,0,0.7,0.5,1,1
2,0,3,10,0,2,49,14,2,4,61,11,0.785714285714286,0,0,4,6,0,0,17,5,2,2,34,1,1,0.2,0.2,1,0.5,0.2,0.2,1,0.2,1,0.5,0.2,0.2,1,0.714285714285714,0.2,0.6
0,0,6,3,0,0,19,6,3,0,24,4,0.571428571428571,0,0,5,5,0,0,17,5,1,0,31,1,1,1,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,1,0,1,0,1,0
0,0,6,3,0,0,19,6,3,0,24,4,0.088888888888889,0,0,23,23,5,5,143,50,20,7,188,1,1,1,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,1,0,1,0,1,0
0,0,4,6,0,0,18,5,1,1,31,4,0.285714285714286,0,0,8,8,1,3,35,12,5,0,108,1,1,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0.204545454545455,0.333333333333333,1
0,0,6,13,1,0,49,17,2,5,80,15,0.833333333333333,0,0,6,6,0,0,18,4,2,0,31,1,0.5,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,1,0.333333333333333,1
0,0,28,27,4,0,128,37,15,6,191,33,0.916666666666667,0,0,6,6,0,0,18,4,2,0,31,1,1,0.333333333333333,0.166666666666667,1,1,0.333333333333333,0.166666666666667,1,0.166666666666667,1,0.842105263157895,0.666666666666667,0.666666666666667,1,1,0.333333333333333,0.666666666666667
0,0,1,4,0,0,17,8,1,3,44,7,0.411764705882353,0,0,8,8,1,3,35,12,5,0,108,1,0.333333333333333,0.75,0.25,0.333333333333333,0,0.25,0,1,0.25,0.125,0,0.25,0,0.358490566037736,0,1,0
0,0,6,6,0,0,22,4,2,0,31,5,0.333333333333333,0,0,8,8,1,3,35,12,5,0,108,1,0,0.25,0,1,0,0.25,0,1,0.25,1,0,0.5,0,1,0,0.5,0
0,0,3,6,0,0,18,5,1,1,17,4,0.210526315789474,0,0,27,19,0,5,79,22,17,1,108,1,0.5,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0.642857142857143,0.333333333333333,0.666666666666667
0,0,9,16,2,0,65,21,5,7,119,21,0.84,0,0,7,8,0,0,24,8,4,0,67,1,1,0.111111111111111,0.333333333333333,1,0,0.333333333333333,0,1,0.111111111111111,1,0.5,0.111111111111111,0.333333333333333,1,0,0.444444444444444,0
0,0,3,5,2,0,27,6,2,2,26,10,0.5,0,0,14,9,1,4,58,21,13,3,92,1,1,0.2,0.2,1,0,0.2,0,1,0.2,1,0.285714285714286,0.2,0.4,1,0.615384615384615,0.2,0.4
0,0,20,21,3,0,94,27,10,5,127,29,0.878787878787879,0,0,7,8,0,0,24,8,4,0,67,1,1,0.25,0.25,1,0,0.125,0,1,0.125,1,1,0.25,0.25,1,0.678571428571429,0.25,0.5
0,0,5,15,2,0,45,15,1,1,62,15,0.833333333333333,0,0,3,3,0,0,17,8,2,2,28,1,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0,1,0
0,0,3,3,0,0,20,8,2,2,28,5,0.192307692307692,0,0,31,19,3,6,97,25,22,1,126,1,0.5,0.5,0.25,0.333333333333333,0.25,0.25,0.25,1,0.25,0.115384615384615,0,0.75,0,0.473684210526316,0.129411764705882,0.75,1
0,0,8,9,3,1,55,17,5,3,69,14,0.7,0,0,4,5,0,1,22,9,3,2,57,1,1,0.2,0.4,1,1,0.2,0.2,1,0.2,1,0.857142857142857,0.2,0.6,1,0.724137931034483,0.2,0.8
0,0,15,17,5,1,97,29,12,3,112,30,0.75,0,0,22,6,1,3,58,18,16,1,78,1,1,0.166666666666667,0.666666666666667,1,1,0.166666666666667,0.166666666666667,1,0.166666666666667,1,0.424242424242424,0.166666666666667,0.666666666666667,1,0.911764705882353,0.333333333333333,0.666666666666667
0,0,22,6,1,3,74,18,16,1,81,12,0.705882352941176,0,0,6,13,1,1,42,10,6,0,48,1,0,0.571428571428571,0,1,0,0.571428571428571,0,1,0.142857142857143,1,0,0.142857142857143,0,1,1,0.571428571428571,0.142857142857143
0,0,8,11,3,1,69,23,6,5,107,17,0.739130434782609,0,0,4,5,0,1,22,9,3,2,61,1,1,0.4,0.2,1,1,0.2,0.2,1,0.2,1,0.857142857142857,0.2,0.6,1,0.733333333333333,0.2,0.8
0,0,37,26,2,1,126,21,18,0,151,27,0.58695652173913,0,0,33,25,0,9,99,26,21,1,133,1,1,0.333333333333333,0.333333333333333,1,0.75,0.333333333333333,0.666666666666667,1,0.333333333333333,1,0,1,0,1,0,1,0
0,0,10,12,4,2,72,24,6,5,97,21,0.75,0,0,5,5,1,1,24,10,3,2,62,1,1,0.2,0.4,1,1,0.2,0.2,1,0.2,1,0.875,0.2,0.6,1,0.75,0.2,0.8
0,0,2,3,0,0,9,1,1,0,7,4,0.444444444444444,0,0,4,7,0,1,19,5,2,1,26,0.5,0,0.333333333333333,0,0.5,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0,0.333333333333333,0
